service_id,dim_call_service_id,dim_language_id,dim_client_id
5,ESLR_USA_Eng_none_IN1,English,Essilor
6,ESLR_USA_Fre_none_IN1,French,Essilor
7,ESLR_USA_Eng_none_M31,English,Essilor
13,ESLR_CTR_Lng_None_Out,Undefined,Essilor
15,ESLR_USA_Fre_none_M32,French,Essilor
16,BRFN_CTR_fre_LL_IN1,French,Brown_Forman
16,ESLR_USA_Fre_none_IN2,French,Essilor
17,BRFN_CTR_fre_LL_IN1AH,French,Brown_Forman
17,ESLR_USA_Fre_none_IN2OV,French,Essilor
18,BRFN_CTR_fre_LLNR_IN1,French,Brown_Forman
19,BRFN_CTR_fre_LLNR_IN1AH,French,Brown_Forman
26,CRFH_CTR_Swe_None_IN1,Swedish,CRF_Health
27,FLEX_USA_eng_Main_M31,English,Flexera_Software
28,ALCS_NOR_Nor_None_IN1,Norwegian,Alcoa_Scandinavia
28,BRFN_CTR_Lng_None_ASBR,Undefined,Brown_Forman
28,FLEX_USA_eng_Main_IN1,English,Flexera_Software
29,ALCS_CTR_Lng_None_Out,Undefined,Alcoa_Scandinavia
30,CRFH_SWE_Swe_None_M30,Swedish,CRF_Health
33,EURI_ROU_Eng_None_IN1,English,EURID
33,FLEX_CTR_Lng_None_Out,Undefined,Flexera_Software
34,EURI_CTR_Lng_None_Out,Undefined,EURID
34,SFLD_USA_Eng_FlashRecord_M31,English,SFLD_MISC_No_Reporting
35,ALCS_NOR_Nor_None_M31,Norwegian,Alcoa_Scandinavia
41,RT_1_CAN_Lng_None_M31,Undefined,Route_One
42,RT_1_CAN_Fre_Enroll_ASBR,French,Route_One
43,RT_1_CAN_Fre_Support_ASBR,French,Route_One
44,HENZ_USA_Eng_None_M31,English,Heinz_Bucharest
45,HENZ_USA_Eng_None_IN1,English,Heinz_Bucharest
45,MAUD_USA_eng_None_M31,English,MAUD_Manila
46,MAUD_USA_eng_None_IN1,English,MAUD_Manila
46,RT_1_USA_eng_pwreset_IN1,English,Route_One
47,CRFH_CTR_Swe_None_IN2,Swedish,CRF_Health
47,MAUD_CTR_Lng_None_Out,Undefined,MAUD_Manila
47,RT_1_CAN_eng_enroll_IN1,English,Route_One
48,CRFH_CTR_Swe_None_M32,Swedish,CRF_Health
48,MAUD_GBR_eng_None_M31,English,MAUD_Romania
48,RT_1_CAN_eng_support_IN1,English,Route_One
49,ALCS_NOR_Nor_None_IN2,Norwegian,Alcoa_Scandinavia
49,MAUD_GBR_eng_None_IN1,English,MAUD_Romania
50,ALCS_NOR_Nor_None_M32,Norwegian,Alcoa_Scandinavia
51,HENZ_USA_Eng_PriorityLine_IN1,English,Heinz_Bucharest
52,BRFN_CTR_Lng_None_DIS1,Undefined,Brown_Forman
53,BRFN_CTR_Lng_NoRecord_DIS1,Undefined,Brown_Forman
54,BRFN_CTR_Lng_None_DISAH1,Undefined,Brown_Forman
54,SAVE_SWE_Swe_None_IN1,Swedish,sanofi_aventis
55,BRFN_CTR_Lng_NoRecord_DISAH1,Undefined,Brown_Forman
56,SAVE_CTR_Swe_None_M32,Swedish,sanofi_aventis
59,RT_1_USA_eng_support_IN1,English,Route_One
60,RT_1_USA_eng_saturday_IN1,English,Route_One
61,RT_1_USA_eng_econtract_IN1,English,Route_One
62,RT_1_USA_eng_pwreset_IN1AH,English,Route_One
63,RT_1_USA_eng_enroll_IN1,English,Route_One
64,RT_1_CTR_eng_None_M31,English,Route_One
65,RT_1_CTR_eng_enroll_M31,English,Route_One
66,RT_1_CTR_eng_pwreset_M31,English,Route_One
72,LVNA_CTR_eng_None_ASBR,English,Louis_Vuitton_North_America
73,LVNA_CTR_spa_None_ASBR,Spanish,Louis_Vuitton_North_America
74,LVNA_MEX_spa_None_ASBR,Spanish,Louis_Vuitton_North_America
75,LVNA_BRA_por_None_ASBR,Portuguese,Louis_Vuitton_North_America
78,LVNA_CTR_Lng_None_M31,Undefined,Louis_Vuitton_North_America
89,ALCS_CTR_Eng_DRP_IN1,English,Alcoa_Scandinavia
90,ALCS_CTR_Eng_DRP_M31,English,Alcoa_Scandinavia
91,ACST_CTR_eng_MC65CBack_OB2,English,Acosta_ServiceDesk
92,ACST_CTR_eng_MC65_ASBR,English,Acosta_ServiceDesk
97,CRFH_CAN_Lng_PBR_M31,Undefined,CRF_Health
102,SAVE_CTR_yue_None_IN1,Chinese Cantonese,sanofi_aventis
103,SAVE_CTR_cmn_None_IN1,Chinese Mandarin,sanofi_aventis
104,SAVE_IND_hin_None_IN1,Hindi,sanofi_aventis
105,SAVE_JPN_jpn_None_IN1,Japanese,sanofi_aventis
106,SAVE_KOR_kor_None_IN1,Korean,sanofi_aventis
107,SAVE_THA_tha_None_IN1,Thai,sanofi_aventis
125,AMCR_ctr_lng_None_M31,Undefined,Amcor
126,SWAG_USA_Eng_DS_IN1,English,Swagelok
126,VALL_CTR_Eng_None_IN1,English,Vallourec
127,SWAG_USA_Eng_Main_IN1,English,Swagelok
127,VALL_CTR_Eng_MANSAH_IN1,English,Vallourec
128,SWAG_USA_Eng_DS_M31,English,Swagelok
128,SWAG_USA_Eng_Main_M31,English,Swagelok
128,VALL_CTR_Lng_None_Out,Undefined,Vallourec
130,SPAS_TWN_cmn_None_IN1,Chinese Mandarin,Sanofi_Pasteur
130,SWAG_USA_Eng_Batphone_IN1,English,Swagelok
130,SWAG_USA_Eng_DS_IN1AH,English,Swagelok
131,SPAS_THA_tha_None_IN1,Thai,Sanofi_Pasteur
131,SWAG_CTR_Lng_None_Out,Undefined,Swagelok
132,SWAG_USA_Eng_Main_IN1AH,English,Swagelok
133,SPAS_TWN_eng_None_IN2OVCmn,English,Sanofi_Pasteur
134,SPAS_THA_eng_None_IN2OVTha,English,Sanofi_Pasteur
140,ARIS_JPN_eng_None_M32,English,ArisGlobal
141,ARIS_JPN_jpn_None_IN1,Japanese,ArisGlobal
142,ARIS_JPN_eng_None_IN2OVJpn,English,ArisGlobal
145,SAVE_CTR_yue_None_M32,Chinese Cantonese,sanofi_aventis
146,SAVE_CTR_cmn_None_M32,Chinese Mandarin,sanofi_aventis
147,SAVE_CTR_hin_None_M32,Hindi,sanofi_aventis
148,SAVE_CTR_kor_None_M32,Korean,sanofi_aventis
